Timestamp,Human readable date,daily,Context
1635310801000,2021-10-27 05:00:01,125.0,b'{}'
1635307201000,2021-10-27 04:00:01,125.0,b'{}'
1635301819000,2021-10-27 02:30:19,125.0,b'{}'
1635299560000,2021-10-27 01:52:40,121.0,b'{}'
1635296344000,2021-10-27 00:59:04,107.0,b'{}'
1635292795000,2021-10-26 23:59:55,86.0,b'{}'
1635288377000,2021-10-26 22:46:17,49.0,b'{}'
1635285321000,2021-10-26 21:55:21,44.0,b'{}'
1635281915000,2021-10-26 20:58:35,36.0,b'{}'
1635278388000,2021-10-26 19:59:48,26.0,b'{}'
1635273349000,2021-10-26 18:35:49,17.0,b'{}'
1635269712000,2021-10-26 17:35:12,16.0,b'{}'
1635266752000,2021-10-26 16:45:52,14.0,b'{}'
1635263704000,2021-10-26 15:55:04,12.0,b'{}'
1635259915000,2021-10-26 14:51:55,8.0,b'{}'
1635256801000,2021-10-26 14:00:01,0.0,b'{}'
1635253200000,2021-10-26 13:00:00,0.0,b'{}'
1635249601000,2021-10-26 12:00:01,0.0,b'{}'
1635246001000,2021-10-26 11:00:01,0.0,b'{}'
1635242400000,2021-10-26 10:00:00,0.0,b'{}'
1635238801000,2021-10-26 09:00:01,0.0,b'{}'
1635235201000,2021-10-26 08:00:01,0.0,b'{}'
1635231601000,2021-10-26 07:00:01,0.0,b'{}'
1635228001000,2021-10-26 06:00:01,121.0,b'{}'
1635224401000,2021-10-26 05:00:01,121.0,b'{}'
1635220801000,2021-10-26 04:00:01,121.0,b'{}'
1635216218000,2021-10-26 02:43:38,121.0,b'{}'
1635213430000,2021-10-26 01:57:10,119.0,b'{}'
1635209644000,2021-10-26 00:54:04,99.0,b'{}'
1635206375000,2021-10-25 23:59:35,77.0,b'{}'
1635202628000,2021-10-25 22:57:08,52.0,b'{}'
1635198812000,2021-10-25 21:53:32,26.0,b'{}'
1635195472000,2021-10-25 20:57:52,21.0,b'{}'
1635191322000,2021-10-25 19:48:42,16.0,b'{}'
1635188238000,2021-10-25 18:57:18,10.0,b'{}'
1635183171000,2021-10-25 17:32:51,5.0,b'{}'
1635181201000,2021-10-25 17:00:01,4.0,b'{}'
1635177600000,2021-10-25 16:00:00,4.0,b'{}'
1635172551000,2021-10-25 14:35:51,4.0,b'{}'
1635170401000,2021-10-25 14:00:01,0.0,b'{}'
1635166801000,2021-10-25 13:00:01,0.0,b'{}'
1635163201000,2021-10-25 12:00:01,0.0,b'{}'
1635159601000,2021-10-25 11:00:01,0.0,b'{}'
1635156000000,2021-10-25 10:00:00,0.0,b'{}'
1635152401000,2021-10-25 09:00:01,0.0,b'{}'
1635148801000,2021-10-25 08:00:01,0.0,b'{}'
1635145201000,2021-10-25 07:00:01,0.0,b'{}'
1635141600000,2021-10-25 06:00:00,25.0,b'{}'
1635138000000,2021-10-25 05:00:00,25.0,b'{}'
1635134401000,2021-10-25 04:00:01,25.0,b'{}'
1635130801000,2021-10-25 03:00:01,25.0,b'{}'
1635124305000,2021-10-25 01:11:45,25.0,b'{}'
1635123601000,2021-10-25 01:00:01,23.0,b'{}'
1635120001000,2021-10-25 00:00:01,23.0,b'{}'
1635116401000,2021-10-24 23:00:01,23.0,b'{}'
1635112801000,2021-10-24 22:00:01,23.0,b'{}'
1635106241000,2021-10-24 20:10:41,23.0,b'{}'
1635104934000,2021-10-24 19:48:54,22.0,b'{}'
1635101656000,2021-10-24 18:54:16,9.0,b'{}'
1635095472000,2021-10-24 17:11:12,4.0,b'{}'
1635094801000,2021-10-24 17:00:01,1.0,b'{}'
1635088040000,2021-10-24 15:07:20,1.0,b'{}'
1635087600000,2021-10-24 15:00:00,0.0,b'{}'
1635084001000,2021-10-24 14:00:01,0.0,b'{}'
1635080401000,2021-10-24 13:00:01,0.0,b'{}'
1635076800000,2021-10-24 12:00:00,0.0,b'{}'
1635073200000,2021-10-24 11:00:00,0.0,b'{}'
1635069601000,2021-10-24 10:00:01,0.0,b'{}'
1635066000000,2021-10-24 09:00:00,0.0,b'{}'
1635062401000,2021-10-24 08:00:01,0.0,b'{}'
1635058801000,2021-10-24 07:00:01,0.0,b'{}'
1635055200000,2021-10-24 06:00:00,195.0,b'{}'
1635051601000,2021-10-24 05:00:01,195.0,b'{}'
1635048000000,2021-10-24 04:00:00,195.0,b'{}'
1635043427000,2021-10-24 02:43:47,195.0,b'{}'
Timestamp,Human readable date,daily,Context
1635385585000,2021-10-28 01:46:25,54.0,b'{}'
1635382601000,2021-10-28 00:56:41,49.0,b'{}'
1635378891000,2021-10-27 23:54:51,37.0,b'{}'
1635372903000,2021-10-27 22:15:03,34.0,b'{}'
1635372000000,2021-10-27 22:00:00,31.0,b'{}'
1635367660000,2021-10-27 20:47:40,31.0,b'{}'
1635362896000,2021-10-27 19:28:16,29.0,b'{}'
1635360946000,2021-10-27 18:55:46,25.0,b'{}'
1635357561000,2021-10-27 17:59:21,17.0,b'{}'
1635353945000,2021-10-27 16:59:05,11.0,b'{}'
1635349448000,2021-10-27 15:44:08,3.0,b'{}'
1635346800000,2021-10-27 15:00:00,2.0,b'{}'
1635343200000,2021-10-27 14:00:00,2.0,b'{}'
1635339600000,2021-10-27 13:00:00,2.0,b'{}'
1635335085000,2021-10-27 11:44:45,2.0,b'{}'
1635332400000,2021-10-27 11:00:00,0.0,b'{}'
1635328801000,2021-10-27 10:00:01,0.0,b'{}'
1635325200000,2021-10-27 09:00:00,0.0,b'{}'
1635321600000,2021-10-27 08:00:00,0.0,b'{}'
1635318000000,2021-10-27 07:00:00,0.0,b'{}'
1635314400000,2021-10-27 06:00:00,0.0,b'{}'
1635310801000,2021-10-27 05:00:01,43.0,b'{}'
1635307201000,2021-10-27 04:00:01,43.0,b'{}'
1635303600000,2021-10-27 03:00:00,43.0,b'{}'
1635299544000,2021-10-27 01:52:24,43.0,b'{}'
1635296081000,2021-10-27 00:54:41,39.0,b'{}'
1635290932000,2021-10-26 23:28:52,31.0,b'{}'
1635289201000,2021-10-26 23:00:01,29.0,b'{}'
1635285271000,2021-10-26 21:54:31,29.0,b'{}'
1635281124000,2021-10-26 20:45:24,23.0,b'{}'
1635277296000,2021-10-26 19:41:36,16.0,b'{}'
1635273581000,2021-10-26 18:39:41,13.0,b'{}'
1635270024000,2021-10-26 17:40:24,11.0,b'{}'
1635267454000,2021-10-26 16:57:34,7.0,b'{}'
1635263830000,2021-10-26 15:57:10,2.0,b'{}'
1635258973000,2021-10-26 14:36:13,1.0,b'{}'
1635256801000,2021-10-26 14:00:01,0.0,b'{}'
1635253201000,2021-10-26 13:00:01,0.0,b'{}'
1635249601000,2021-10-26 12:00:01,0.0,b'{}'
1635246000000,2021-10-26 11:00:00,0.0,b'{}'
1635242400000,2021-10-26 10:00:00,0.0,b'{}'
1635238800000,2021-10-26 09:00:00,0.0,b'{}'
1635235200000,2021-10-26 08:00:00,0.0,b'{}'
1635231600000,2021-10-26 07:00:00,0.0,b'{}'
1635228001000,2021-10-26 06:00:01,0.0,b'{}'
1635224401000,2021-10-26 05:00:01,24.0,b'{}'
1635220800000,2021-10-26 04:00:00,24.0,b'{}'
1635214348000,2021-10-26 02:12:28,24.0,b'{}'
1635212242000,2021-10-26 01:37:22,22.0,b'{}'
1635208872000,2021-10-26 00:41:12,20.0,b'{}'
1635204985000,2021-10-25 23:36:25,16.0,b'{}'
1635202090000,2021-10-25 22:48:10,15.0,b'{}'
1635199201000,2021-10-25 22:00:01,14.0,b'{}'
1635193636000,2021-10-25 20:27:16,14.0,b'{}'
1635191827000,2021-10-25 19:57:07,12.0,b'{}'
1635188400000,2021-10-25 19:00:00,6.0,b'{}'
1635188379000,2021-10-25 18:59:39,6.0,b'{}'
1635188145000,2021-10-25 18:55:45,6.0,b'{}'
1635184232000,2021-10-25 17:50:32,4.0,b'{}'
1635180134000,2021-10-25 16:42:14,2.0,b'{}'
1635177600000,2021-10-25 16:00:00,0.0,b'{}'
1635174001000,2021-10-25 15:00:01,0.0,b'{}'
1635170400000,2021-10-25 14:00:00,0.0,b'{}'
1635166801000,2021-10-25 13:00:01,0.0,b'{}'
1635163201000,2021-10-25 12:00:01,0.0,b'{}'
1635159601000,2021-10-25 11:00:01,0.0,b'{}'
1635156001000,2021-10-25 10:00:01,0.0,b'{}'
1635152401000,2021-10-25 09:00:01,0.0,b'{}'
1635148801000,2021-10-25 08:00:01,0.0,b'{}'
1635145201000,2021-10-25 07:00:01,0.0,b'{}'
1635141601000,2021-10-25 06:00:01,0.0,b'{}'
1635138001000,2021-10-25 05:00:01,11.0,b'{}'
1635134400000,2021-10-25 04:00:00,11.0,b'{}'
1635130801000,2021-10-25 03:00:01,11.0,b'{}'
1635127201000,2021-10-25 02:00:01,11.0,b'{}'
1635123601000,2021-10-25 01:00:01,11.0,b'{}'
1635120000000,2021-10-25 00:00:00,11.0,b'{}'
1635116400000,2021-10-24 23:00:00,11.0,b'{}'
1635112800000,2021-10-24 22:00:00,11.0,b'{}'
1635109201000,2021-10-24 21:00:01,11.0,b'{}'
1635103375000,2021-10-24 19:22:55,11.0,b'{}'
1635101104000,2021-10-24 18:45:04,9.0,b'{}'
1635097809000,2021-10-24 17:50:09,7.0,b'{}'
1635094524000,2021-10-24 16:55:24,5.0,b'{}'
1635091200000,2021-10-24 16:00:00,1.0,b'{}'
1635087199000,2021-10-24 14:53:19,1.0,b'{}'
1635084001000,2021-10-24 14:00:01,0.0,b'{}'
1635080401000,2021-10-24 13:00:01,0.0,b'{}'
1635076800000,2021-10-24 12:00:00,0.0,b'{}'
1635073201000,2021-10-24 11:00:01,0.0,b'{}'
1635069600000,2021-10-24 10:00:00,0.0,b'{}'
1635066001000,2021-10-24 09:00:01,0.0,b'{}'
1635062400000,2021-10-24 08:00:00,0.0,b'{}'
1635058800000,2021-10-24 07:00:00,0.0,b'{}'
1635055200000,2021-10-24 06:00:00,0.0,b'{}'
1635051601000,2021-10-24 05:00:01,169.0,b'{}'
1635048001000,2021-10-24 04:00:01,169.0,b'{}'
1635043587000,2021-10-24 02:46:27,169.0,b'{}'
Timestamp,Human readable date,daily,Context
1635383326000,2021-10-28 01:08:46,31.0,b'{}'
1635379480000,2021-10-28 00:04:40,29.0,b'{}'
1635378143000,2021-10-27 23:42:23,28.0,b'{}'
1635373957000,2021-10-27 22:32:37,23.0,b'{}'
1635371597000,2021-10-27 21:53:17,20.0,b'{}'
1635368039000,2021-10-27 20:53:59,14.0,b'{}'
1635362084000,2021-10-27 19:14:44,7.0,b'{}'
1635359161000,2021-10-27 18:26:01,5.0,b'{}'
1635356863000,2021-10-27 17:47:43,3.0,b'{}'
1635354000000,2021-10-27 17:00:00,1.0,b'{}'
1635348772000,2021-10-27 15:32:52,1.0,b'{}'
1635346801000,2021-10-27 15:00:01,0.0,b'{}'
1635343201000,2021-10-27 14:00:01,0.0,b'{}'
1635339601000,2021-10-27 13:00:01,0.0,b'{}'
1635303601000,2021-10-27 03:00:01,8.0,b'{}'
1635300001000,2021-10-27 02:00:01,8.0,b'{}'
1635292837000,2021-10-27 00:00:37,8.0,b'{}'
1635292801000,2021-10-27 00:00:01,7.0,b'{}'
1635287012000,2021-10-26 22:23:32,7.0,b'{}'
1635285601000,2021-10-26 22:00:01,6.0,b'{}'
1635281605000,2021-10-26 20:53:25,6.0,b'{}'
1635278352000,2021-10-26 19:59:12,3.0,b'{}'
1635272870000,2021-10-26 18:27:50,1.0,b'{}'
1635271201000,2021-10-26 18:00:01,0.0,b'{}'
1635267601000,2021-10-26 17:00:01,0.0,b'{}'
1635264000000,2021-10-26 16:00:00,0.0,b'{}'
1635260401000,2021-10-26 15:00:01,0.0,b'{}'
1635256800000,2021-10-26 14:00:00,0.0,b'{}'
1635253200000,2021-10-26 13:00:00,0.0,b'{}'
1635217200000,2021-10-26 03:00:00,2.0,b'{}'
1635213601000,2021-10-26 02:00:01,2.0,b'{}'
1635210001000,2021-10-26 01:00:01,2.0,b'{}'
1635202822000,2021-10-25 23:00:22,2.0,b'{}'
1635202801000,2021-10-25 23:00:01,0.0,b'{}'
1635199201000,2021-10-25 22:00:01,0.0,b'{}'
1635195601000,2021-10-25 21:00:01,0.0,b'{}'
1635192001000,2021-10-25 20:00:01,0.0,b'{}'
1635188401000,2021-10-25 19:00:01,0.0,b'{}'
1635184801000,2021-10-25 18:00:01,0.0,b'{}'
1635181200000,2021-10-25 17:00:00,0.0,b'{}'
1635177600000,2021-10-25 16:00:00,0.0,b'{}'
1635174001000,2021-10-25 15:00:01,0.0,b'{}'
1635170401000,2021-10-25 14:00:01,0.0,b'{}'
1635166801000,2021-10-25 13:00:01,0.0,b'{}'
1635130801000,2021-10-25 03:00:01,1.0,b'{}'
1635127200000,2021-10-25 02:00:00,1.0,b'{}'
1635123601000,2021-10-25 01:00:01,1.0,b'{}'
1635120000000,2021-10-25 00:00:00,1.0,b'{}'
1635116400000,2021-10-24 23:00:00,1.0,b'{}'
1635112801000,2021-10-24 22:00:01,1.0,b'{}'
1635109200000,2021-10-24 21:00:00,1.0,b'{}'
1635105600000,2021-10-24 20:00:00,1.0,b'{}'
1635102001000,2021-10-24 19:00:01,1.0,b'{}'
1635098400000,2021-10-24 18:00:00,1.0,b'{}'
1635094800000,2021-10-24 17:00:00,1.0,b'{}'
1635087636000,2021-10-24 15:00:36,1.0,b'{}'
1635087601000,2021-10-24 15:00:01,0.0,b'{}'
1635084000000,2021-10-24 14:00:00,0.0,b'{}'
1635080401000,2021-10-24 13:00:01,0.0,b'{}'
1635044401000,2021-10-24 03:00:01,221.0,b'{}'
Timestamp,Human readable date,daily,Context
1635386414827,2021-10-28 02:00:14,84.0,b'{}'
1635382815623,2021-10-28 01:00:15,73.0,b'{}'
1635379214118,2021-10-28 00:00:14,62.0,b'{}'
1635375616874,2021-10-27 23:00:16,52.0,b'{}'
1635372016174,2021-10-27 22:00:16,46.0,b'{}'
1635368415574,2021-10-27 21:00:15,42.0,b'{}'
1635364816157,2021-10-27 20:00:16,36.0,b'{}'
1635361219669,2021-10-27 19:00:19,34.0,b'{}'
1635357616203,2021-10-27 18:00:16,17.0,b'{}'
1635354016757,2021-10-27 17:00:16,15.0,b'{}'
1635350414189,2021-10-27 16:00:14,13.0,b'{}'
1635346820532,2021-10-27 15:00:20,6.0,b'{}'
1635343221477,2021-10-27 14:00:21,1.0,b'{}'
1635339620280,2021-10-27 13:00:20,1.0,b'{}'
1635336026142,2021-10-27 12:00:26,1.0,b'{}'
1635332422491,2021-10-27 11:00:22,1.0,b'{}'
1635328815551,2021-10-27 10:00:15,1.0,b'{}'
1635325221833,2021-10-27 09:00:21,0.0,b'{}'
1635321622592,2021-10-27 08:00:22,0.0,b'{}'
1635318023122,2021-10-27 07:00:23,0.0,b'{}'
1635314424159,2021-10-27 06:00:24,0.0,b'{}'
1635310823138,2021-10-27 05:00:23,0.0,b'{}'
1635307222532,2021-10-27 04:00:22,0.0,b'{}'
1635303619968,2021-10-27 03:00:19,57.0,b'{}'
1635300014845,2021-10-27 02:00:14,57.0,b'{}'
1635296413728,2021-10-27 01:00:13,56.0,b'{}'
1635292816096,2021-10-27 00:00:16,48.0,b'{}'
1635289215480,2021-10-26 23:00:15,43.0,b'{}'
1635285621833,2021-10-26 22:00:21,36.0,b'{}'
1635282016702,2021-10-26 21:00:16,34.0,b'{}'
1635278416213,2021-10-26 20:00:16,27.0,b'{}'
1635274821998,2021-10-26 19:00:21,24.0,b'{}'
1635271217421,2021-10-26 18:00:17,22.0,b'{}'
1635267616771,2021-10-26 17:00:16,17.0,b'{}'
